"Island","Game","Blueprint Key","Game Type","Topics Covered","Core Mechanic","Scoring and Win/Lose","Answer Key Source"
"Ratio Rapids","Potion Panic","potion_panic","potion_pour","Ratios and proportional reasoning","Add ingredients to reach required ratio","Correct mix advances; wrong reduces lives","Game logic: src/games/PotionPourGame.tsx"
"Ratio Rapids","Share Splitter","share_splitter","ratio_rapids","Ratios and sharing","Distribute cake slices to plates to match ratio","Correct distribution passes; wrong loses lives","Game logic: src/games/ShareSplitterGame.tsx"
"Ratio Rapids","Ratio Fractions","ratio_fractions","ratio_fractions","Ratio to fraction of a whole","Convert a ratio into a fraction of the whole","Correct answers score; wrong answers lose lives","Game logic: src/games/RatioFractionsGame.tsx"
"Ratio Rapids","Scale Builder","scale_builder","scale_safari","Scale factors, proportional reasoning","Adjust scale to match target","Correct scale advances; wrong loses lives","Game logic: src/games/ScaleBuilderGame.tsx"
"Geometry Glacier","Angle Arena","angle_arena","angle_arena","Angles and angle reasoning","Choose the correct angle; projectile fires to confirm","Correct hits target; wrong misses and loses a life","Game logic: src/games/AngleArenaGame.tsx"
"Geometry Glacier","Polygon Palace","polygon_palace","polygon_palace","Shape properties, classification","Pick the correct shape or property","Correct answers score; wrong loses lives","Game logic: src/games/PolygonPalaceGame.tsx"
"Geometry Glacier","Area Architect","area_architect","area_architect","Area and perimeter of shapes","Calculate area or perimeter from given shapes","Correct answers score; wrong loses lives","Game logic: src/games/AreaArchitectGame.tsx"
"Geometry Glacier","Rotation Station","rotation_relay","transform_temple","Rotation and reflection","Choose correct transformation","Correct answers score; wrong loses lives","Game logic: src/games/RotationReflectionGame.tsx"
"Geometry Glacier","Coordinates Quest","coordinates_quest","coordinate_quest","Coordinates and grid movement","Select correct coordinate or move sequence","Correct answers score; wrong loses lives","Game logic: src/games/CoordinateTranslationGame.tsx"
"Geometry Glacier","Chrono Dash: Time Trial","time_keeper_cove","timekeeper_temple","Time conversion and elapsed time","Match analogue and digital time","Correct answers score; wrong loses lives; timer active","Game logic: src/games/TimekeeperTempleGame.tsx"
"Geometry Glacier","Conversion Canyon","conversion_canyon","measurement_forge","Metric conversions, mass/volume/length","Match target by selecting correct conversion tokens","Correct target advances; wrong does not score","Game logic: src/games/MeasurementForgeGame.tsx; question bank: src/systems/content/satsInspiredQuestionBanks.ts"
"Geometry Glacier","Perimeter Path","perimeter_path","measurement_forge","Perimeter reasoning","Calculate perimeter of shapes","Correct answers score; wrong loses lives","Game logic: src/games/PerimeterPathGame.tsx"
"Data Desert","Chart Challenge","chart_challenge","chart_chase","Data interpretation, median/mean/mode","Answer data questions from charts or sets","Correct answers score; wrong loses lives","Game logic: src/games/MedianMountainGame.tsx; question bank: src/systems/content/satsInspiredQuestionBanks.ts"
"Data Desert","Mean Machine","mean_machine","mean_machine","Mean, mode, median","Solve mean/mode/median problems from number reels","Correct answers score; wrong loses lives","Game logic: src/games/MeanMachineGame.tsx"
"Data Desert","Graph Grabber","graph_grabber","chart_chase","Charts and graph reading","Read values from charts and choose correct answer","Correct answers score; wrong loses lives","Game logic: src/games/TreasureChartCoveGame.tsx"
"Data Desert","Line Graph Lab","line_graph_lab","chart_chase","Line graph interpretation","Read a line graph and answer from options","Correct answers score; wrong loses lives","Game logic: src/games/LineGraphLabGame.tsx"
"Data Desert","Data Detective","data_detective","data_dungeon","Data reasoning, mean/median/mode/range","Solve data clues from charts and sets","Correct answers score; wrong loses lives","Game logic: src/games/DataDetectiveGame.tsx"
"Operations Outpost","Calculation Clash","calculation_clash","calculation_clash","Mental arithmetic, order of operations","Solve calculations quickly","Correct answers score; wrong loses lives; timer often active","Game logic: src/games/CalculationCrashGame.tsx"
"Operations Outpost","Factor Frenzy","factor_frenzy","tower_of_factors","Factors, multiples, divisibility","Identify factors/multiples under pressure","Correct answers score; wrong loses lives","Game logic: src/games/FactorFrenzyGame.tsx"
"Operations Outpost","Multiplication Mine","multiplication_mine","calculation_clash","Multiplication facts","Answer multiplication to break the rock","Correct answers score; wrong loses lives","Game logic: src/games/MultiplicationMineGame.tsx"
"Operations Outpost","Division Dock","division_dock","calculation_clash","Division and sharing","Allocate goods to boats to match division target","Correct distribution advances; wrong loses lives","Game logic: src/games/DivisionDockGame.tsx"
"Operations Outpost","Order Ops Arena","order_ops_arena","equation_grove","Order of operations, missing values","Solve expressions to proceed","Correct answers score; wrong loses lives","Game logic: src/games/OrderOpsArenaGame.tsx"
"Operations Outpost","Formula Forge","formula_forge","formula_forge","Using formulae and substitution","Substitute into formula and choose answer","Correct answers score; wrong loses lives","Game logic: src/games/FormulaForgeGame.tsx"
"Operations Outpost","Arithmetic Gauntlet","arithmetic_gauntlet","calculation_clash","Mixed arithmetic fluency","Multi-step calculation rounds","Correct answers score; wrong loses lives","Game logic: src/games/ArithmeticGauntletGame.tsx"
"Operations Outpost","Remainder Run","remainder_run","calculation_clash","Division with remainder","Choose correct quotient/remainder route","Correct answers score; wrong loses lives","Game logic: src/games/RemainderRunGame.tsx"
"Operations Outpost","Market Mayhem","market_mayhem","monster_market","Money, totals, change","Build exact totals for customer orders","Correct orders score; wrong loses lives; patience timer","Game logic: src/games/MonsterMarketGame.tsx"
"Measurement Mountain","Problem Pyramid","problem_pyramid","rule_runner","Reasoning and multi-step problems","Solve linked reasoning steps","Correct answers score; wrong loses lives","Game logic: src/games/RuneLockDungeonsGame.tsx; question bank: src/systems/content/satsInspiredQuestionBanks.ts"
"Measurement Mountain","Unit Mixer","unit_mixer","unit_mixer","Unit conversion: length, mass, capacity","Choose correct conversion answer","Correct answers score; wrong loses lives","Game logic: src/games/UnitMixerGame.tsx; question bank: src/systems/content/satsInspiredQuestionBanks.ts"
"Measurement Mountain","Change Counter","change_counter","change_counter","Money and giving change","Calculate change from cost and amount paid","Correct answers score; wrong loses lives","Game logic: src/games/ChangeCounterGame.tsx"
"Measurement Mountain","Mixed Mastery","mixed_mastery","calculation_clash","Mixed SATs arithmetic skills","Rapid mixed calculations","Correct answers score; wrong loses lives","Game logic: src/games/CalculationCrashGame.tsx"
"Measurement Mountain","Strategy Survival","strategy_survival","logic_sort","Reasoning and classification","Sort items by hidden rules","Correct answers score; wrong loses lives","Game logic: src/games/reasoning/ReasoningGame.tsx"
"Measurement Mountain","Timed Test Trials","timed_test_trials","calculation_clash","Mixed arithmetic under time pressure","Timed calculation rounds","Correct answers score; wrong loses lives; timer active","Game logic: src/games/CalculationCrashGame.tsx"
"Measurement Mountain","Multi-Step Marathon","multi_step_marathon","equation_grove","Multi-step reasoning","Solve chained steps and equations","Correct answers score; wrong loses lives","Game logic: src/games/RuneLockDungeonsGame.tsx"
